file	unit_number	table_or_group	localization_or_lookup_key	source_hash	zh_tw_hash	source_ref	zh_tw_ref	unit_kind	review_touched	glossary_hit	lookup_used	ai_rechecked	result	reason_codes	batch_id	placeholder_status	lookup_status
Enhanced_descriptions_localization.lua	14	root_localization	language_zh_tw	21970AB6A6311D829C0D8CB8F256CD8BA6CCED60EF2983E211AB84E7AC809B5E	74F3E5C5B629EE9B19993F6E1A52D8C5E5B48AE33069D8F03C5F332C08F8787A	Enhanced_descriptions_localization.lua:328	Enhanced_descriptions_localization.lua:331	root_localization	no	no	no	yes	KEEP		ED3-ROOT-RECHECK-001	match	none
Enhanced_descriptions_localization.lua	15	root_localization	language_zh_cn	EB505D87279ADBCF04DD361EECFE7FC63F6E9637D38E098D3C00FD3553F18F1B	D7666B1D9DEC424A7FDCD2BFCAE366C219D4DC7EA7DA6FFC89A5A33B1493C417	Enhanced_descriptions_localization.lua:342	Enhanced_descriptions_localization.lua:345	root_localization	no	no	no	yes	KEEP		ED3-ROOT-RECHECK-001	match	none
Enhanced_descriptions_localization.lua	16	root_localization	language_de	AE4D849AD5C154F541D7168EDF7878B994D27B800ABA40C436C7F275CCD2A2C0	0A85DD8563F3F5A3BB60B58387D9441CA3B1F867B90C47BC9975CB9FB71BAC48	Enhanced_descriptions_localization.lua:356	Enhanced_descriptions_localization.lua:359	root_localization	no	no	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	17	root_localization	language_it	E5777CAB81802A685DE3E4C40931F39B76B9ACADAA7431159F1143C2276ED320	92F9203DB534728403D1C8A95CFC8752794347F54A544F8E38BE2E2FE961D675	Enhanced_descriptions_localization.lua:370	Enhanced_descriptions_localization.lua:373	root_localization	no	no	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	18	root_localization	language_ja	A01376B77482743DEBD24E43F99A5FEDA70B536A0D5BFE4525BBFB2E8EECD2D8	874C637696F5ACE1E2FD9FD12A69CA1B7FC4AEA47A0D22D5F1BD913B1A58EFEF	Enhanced_descriptions_localization.lua:384	Enhanced_descriptions_localization.lua:387	root_localization	no	no	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	19	root_localization	language_ko	ACDFFDE69EB3FB0F3D0B5F842B08F863611DDE92CF08B0F05DF17FF200604810	E654F45D2168FAED3D5460F278118A774660D28DE4E7CA66C44A78595252A722	Enhanced_descriptions_localization.lua:398	Enhanced_descriptions_localization.lua:401	root_localization	no	no	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	20	root_localization	language_pl	83BDAAD12C66361011B90886BFC2E1CBA1A76F2914EBA88AF4A3DB6CB3A43DA0	A9FCECB6200576F00891CD9C943F3ADD07D4CDAC0CFE53932EDB5A49A7750550	Enhanced_descriptions_localization.lua:412	Enhanced_descriptions_localization.lua:415	root_localization	no	no	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	21	root_localization	language_pt_br	02AAA1C3B13744B773B29C7331741871622097E1ECFDBBAC7CF8A7CE06103FCF	1E6683CBF7E921405F05628C4D7FBE192173307668C07F5616DB284337A12653	Enhanced_descriptions_localization.lua:426	Enhanced_descriptions_localization.lua:429	root_localization	no	no	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	22	root_localization	language_es	F67D489C628B745CAA4180E0CFB5BFBD5A9226172706845B497BA33869E135E8	B6B96270BB50FC280B7B9EED125F5DDC7244D08AD12AE00CEA1BB9A84B74072C	Enhanced_descriptions_localization.lua:440	Enhanced_descriptions_localization.lua:443	root_localization	no	no	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	23	root_localization	enable_weapons_file	D4E6F98751DBBCA5F0EE4B8CC41DE29DF5BCD4F4FD678817AA5D7CA413BF7C05	EDE56ACC7EF216A99195A43B6C0A198E551E427194F028819D8E41662A05886A	Enhanced_descriptions_localization.lua:455	Enhanced_descriptions_localization.lua:458	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	24	root_localization	enable_weapons_file_description	E587B2097A8EF050ADA6034C93CB8B2296820566CD51B9B5FB31E25190BDD514	69C8E9808ECB639ED128E95580BCC57CEE6BB100DB696DED5F6E5473166A9309	Enhanced_descriptions_localization.lua:469	Enhanced_descriptions_localization.lua:472	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	25	root_localization	enable_curious_file	F9EEEC25A5D2F6C8A85AA4485AF40D78B221FEEC35941139450716956B5A53B4	215E1A707D567671D3C23F65C8F9C1C37D42ADAB894102934478CF2B91359A91	Enhanced_descriptions_localization.lua:484	Enhanced_descriptions_localization.lua:487	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	26	root_localization	enable_curious_file_description	BE2CE5203E4CCDE87F8B9B7C130EA457146B8C5E4FDB28D9B64E5B0C6E958561	49997A2E72BF1192A01CC74A9697EBDE2BF0C0F21B1EF879B3513A7CD838B2C1	Enhanced_descriptions_localization.lua:498	Enhanced_descriptions_localization.lua:501	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	27	root_localization	enable_menus_file	C1257BD7534F7B3B36BD50E527572D0A859277154FAE5B71C7777811F1C474F1	440EA0BD53FEAA37B4364283535C75F859689A6F69C01A68652847BBF6878582	Enhanced_descriptions_localization.lua:513	Enhanced_descriptions_localization.lua:516	root_localization	no	no	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	28	root_localization	enable_menus_file_description	7138F92214FFFBAA65ACCA4B9C712541BC6BF240183BA85FD30BB2E650CA4F5A	080BD491F231FB06BC25AC7723CE909A368D6F9191B91FD96EE918219FB3E69E	Enhanced_descriptions_localization.lua:527	Enhanced_descriptions_localization.lua:530	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	29	root_localization	enable_talents_file	2D3944755F96D15C09BA2C2794297CE1CDEAE7F59700FB65F163E86E5B5BD94C	14325AE667A2C1E70CC19571A275B2AB3C5C133AFF80E418791C4FF721660C8C	Enhanced_descriptions_localization.lua:542	Enhanced_descriptions_localization.lua:545	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	30	root_localization	enable_talents_file_description	C604E0F949C0542595BCF5029899B4AD98B4556AB6B85320CB9BF36896CE7036	5C0E14F4A10720DE494F7D6C3C33450A27808DC7D190CD57B8748A595023D8F3	Enhanced_descriptions_localization.lua:556	Enhanced_descriptions_localization.lua:559	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-002	match	none
Enhanced_descriptions_localization.lua	31	root_localization	enable_penances_file	1AFBB3B0B5A6EEF16643519ECB4CE2A8A423114754701DA6354D41D95D567AAF	E7D2C95D9CB35259DAC4FE83A4AB6A1F8B9A9B0B9560A7184180C17FC87A508C	Enhanced_descriptions_localization.lua:571	Enhanced_descriptions_localization.lua:574	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	32	root_localization	enable_penances_file_description	295CEF18D7082B3AB6C4413C1A18B6967ABA530049A0C9CBB9E84D0F65221106	0E51AF85E9F3B8DC9E5DECA90BCE202BB13EBBB2C0E4B4B4596FA3459058AC5D	Enhanced_descriptions_localization.lua:585	Enhanced_descriptions_localization.lua:588	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	33	root_localization	enable_names_file	BC537E8DAAC7944ACD777BCD82559F698841969EF1ECEB26123A4850AC6E9073	B4F38D1420BB07640C1F8485A71541B0AAA1D202291553B4B92DD999D7617932	Enhanced_descriptions_localization.lua:600	Enhanced_descriptions_localization.lua:603	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	34	root_localization	enable_names_file_description	79C867E964B3EB344E31B8934324F90D233D71C80EF86BBB0B818892481AC8C2	8A2D179E31DC119C214AB59884F422C19E9CD28AD59095A693EE177CBA029793	Enhanced_descriptions_localization.lua:614	Enhanced_descriptions_localization.lua:618	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	35	root_localization	enable_names_tal_bless_file	9AE8FB6FB6A504C89E1BB3804F5940AED7178B254CE1AC47687A39F20616C491	EDD92236E0925C5B9162453B9B26A8299FB34F1E8CEADE9F315B097AA7F86A49	Enhanced_descriptions_localization.lua:631	Enhanced_descriptions_localization.lua:634	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	36	root_localization	enable_names_tal_bless_file_description	2302B83FD1804F9B8C994C11A0217E07A156DA258A1A78446605C436410E81EA	613FD06416EAA2C1A2936651657CF023502E15A4E7842C6B90CE6411CB42ECC8	Enhanced_descriptions_localization.lua:645	Enhanced_descriptions_localization.lua:649	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	37	root_localization	enable_debug_mode	C62C21EB577B43AF703C75A7FF10D48FFAA4967F1893C8A410ECB644399A6EC3	B50EE7690D7D3F9A519B7A30F2DFE780CE5BD3A984BBD086B75562996662DDE1	Enhanced_descriptions_localization.lua:662	Enhanced_descriptions_localization.lua:665	root_localization	no	no	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	38	root_localization	enable_debug_mode_description	03B0A6FE71B950CDF44CCA3E20BC5FD4950E0A39EA5FA2307B06D99925248C16	EEA6BD8B0442D1ED17D642B4952D1ACD24284330390E5944566614678E31FAE1	Enhanced_descriptions_localization.lua:676	Enhanced_descriptions_localization.lua:702	root_localization	no	no	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	39	root_localization	dump_stat_colour	04092438EF79E30B94110949E1A02C089E89B25C92C9137DCD7B1395B3167E6E	873AA4758379AB9F0045826F10B7FDE554A4D11AB8B2CB478AD2ACA8FBD871B0	Enhanced_descriptions_localization.lua:726	Enhanced_descriptions_localization.lua:730	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	40	root_localization	dump_stat2_colour	327B7F4D8E4DE544B26B508B9A07A79EA0C4CAEBE441843ED472E993FC80DD1E	C1716E008C7247F41956ED2F80EA6EFD77E066033816068A3060706F54C67C18	Enhanced_descriptions_localization.lua:735	Enhanced_descriptions_localization.lua:739	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	41	root_localization	dump_stat3_colour	33BE53402C69AC0DC1501F5282BE3A58A9B28D60FD67D0E8616C14657D5995B2	70BFBFE863C00CA2E7C327B1058B5E8E8A728396AC14934590B18302E5E1742A	Enhanced_descriptions_localization.lua:744	Enhanced_descriptions_localization.lua:748	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	42	root_localization	bleed_colour	4DF879522A55B6D7BB5648B27FBB430045309CC32F33C51DCC5755D5BEC99814	D3846D1734256FDF1A2496523E7D1125AEB3BCDB523B70CD6817A2BBE01BF0C7	Enhanced_descriptions_localization.lua:754	Enhanced_descriptions_localization.lua:757	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	43	root_localization	brittleness_colour	AEC4FFFC9037A45B072E149EDC83D74A841455AACC9B6FB92B2AAF332D93DF73	EA7AA0F281115D87002AB2AF7C16E52DF2789966483A7CBDAC9EF48635810D06	Enhanced_descriptions_localization.lua:768	Enhanced_descriptions_localization.lua:771	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	44	root_localization	burn_colour	B15CCD06680122A03F52FCF23B9AEB7C9DE74FD5608E5070C5C7A3A27AA4F1A0	D94FBA5E29405870865A2FA114BB65F7635B63B21D68718C918B7E80052AD5AC	Enhanced_descriptions_localization.lua:782	Enhanced_descriptions_localization.lua:785	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	45	root_localization	cleave_colour	8CBDA0CD1AF8B7876CE3B3ACBE2CC8D280D6284A44A8EC879BA6E135B240D564	90504D8B2FF951DD7AD2E6DCF0A212F672EB73629D0BFB623BF907ADF89B2B8D	Enhanced_descriptions_localization.lua:796	Enhanced_descriptions_localization.lua:799	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-003	match	none
Enhanced_descriptions_localization.lua	46	root_localization	coherency_colour	650B85D4D158C4F8841449966A64F09ED7D3B6444D0EE5C066B02B4006C36E72	36DAA1112116B034EC31A0DF1DFC8E2BC61384392D710B00D5E43599DB4C91B6	Enhanced_descriptions_localization.lua:810	Enhanced_descriptions_localization.lua:813	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	47	root_localization	combat_ability_colour	313EB6DB2F70758C35FB61812328522B89C83D386F361E7DF119A25FE141BA5B	D6520DE161A119FA2B8588566D52D311AB1764DB350B86100303572D8A512D07	Enhanced_descriptions_localization.lua:824	Enhanced_descriptions_localization.lua:827	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	48	root_localization	corruption_colour	F43C11C46F35DD8FA63A698048F7FFA357E387D5484FD86153D7F6D838356643	5505311AA83EFBBAB8A2980B2DDC7C9564DFF32242E0353F55750756C8B12B89	Enhanced_descriptions_localization.lua:838	Enhanced_descriptions_localization.lua:841	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	49	root_localization	crit_colour	4CC8F7B1D029543FFB99E9669A935313D610ED2BA5CDBF241F749C32C6667DAD	359E7FEC9A984255C14D7DB51BC1C6CCAD787B778564F76DBFA862932DD45D2D	Enhanced_descriptions_localization.lua:852	Enhanced_descriptions_localization.lua:855	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	50	root_localization	damage_colour	C4A0D307EB082BF7F18E57E77F555C3FB1F4624E2A31A499B174F46532F09768	310C4A3A3766D65378D619A7A8B19EF11FE2060D04FC363E1B366FFDAB3EE0DD	Enhanced_descriptions_localization.lua:866	Enhanced_descriptions_localization.lua:869	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	51	root_localization	electrocuted_colour	0104139CC79F0E865889A6E85C1A4A154ED1676610DE9A3CB23E866BB3EE70FB	4F199954C5D5727E939347E0BE38A9E15B229E809DD4E4AA374A1CA0BF173DEB	Enhanced_descriptions_localization.lua:880	Enhanced_descriptions_localization.lua:883	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	52	root_localization	finesse_colour	4253E237168443518A90FFCE3653DCF03506C820E9C077A864227F6E741DEEAC	4E60CCFE0B01F88805C6E387EA5FBBD4CD2A7F7970D116B6A5A8D0C75F5FDBBB	Enhanced_descriptions_localization.lua:894	Enhanced_descriptions_localization.lua:897	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	53	root_localization	health_colour	F95767D23E1465C847ABA3BD0AB0A0D064A90262945EE4C326B30C2EB38BCF28	3E0D1CFC8E88F16ADA661279333FEADBA00875565726D55E762CF447C14E31FD	Enhanced_descriptions_localization.lua:908	Enhanced_descriptions_localization.lua:911	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	54	root_localization	hit_mass_colour	05776595FA47E2936EB8A1004FD53BABA0A585D08E38BFA18BD2B080757D65F6	8791862E4A40A8713A76135EBB8AC8B59EA65724AE58CC7ADEF40C22A6A3D622	Enhanced_descriptions_localization.lua:922	Enhanced_descriptions_localization.lua:925	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	55	root_localization	impact_colour	3B3198FC87054D662FD4F91731B200077EB86A9E4B0DECD6F94519B5A6C6D404	B5E3649BB2FBA7A15B4D0DBA795B1C2A4EC93665BB6609D67EDC524A7719CA28	Enhanced_descriptions_localization.lua:936	Enhanced_descriptions_localization.lua:939	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	56	root_localization	peril_colour	17226C02940D80B4C59B127532332A947224B80F0245AA5DC54009E28EB4D134	F88E065876B7BA5E92222E6C0A968BB52F8AD4270682A7CCCADAD330B98D9066	Enhanced_descriptions_localization.lua:950	Enhanced_descriptions_localization.lua:953	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	57	root_localization	power_colour	26CFC416FA0854E61AE91BD80F7982A6914D2F7C1B057A201862679162BFA1BB	ED1935BC6BACC2E4D1C25B0A4B734F585AEB045AC6FCD444F798192EBD85FB2C	Enhanced_descriptions_localization.lua:964	Enhanced_descriptions_localization.lua:967	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	58	root_localization	rending_colour	D2EA4B3F190F0D52C22331DFB225489FF9B00A023B8D27BAE3C2A61866072215	2750C73B3AB2FDF659C040307B7B5F955FCEB3812BAB060BCAA67C9193F60C52	Enhanced_descriptions_localization.lua:978	Enhanced_descriptions_localization.lua:981	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	59	root_localization	soulblaze_colour	F49DA808D3907BA0C0FB5EFDCF421AD11A90FB84401B4B6BFB5F32CFCC25FB67	5A18B8FB87286AF1D93395D753C5751A8826C19929E94267ACC2970C254C2EB5	Enhanced_descriptions_localization.lua:992	Enhanced_descriptions_localization.lua:995	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	60	root_localization	stagger_colour	024E95406CB60AF6D90E1BFC83D06519E555CF4501095C0693E0D2349573DEBF	9884B9DA4F755DEE3CC13AE3BE7A2F1943E5F286089B85CE40C3817BD1A56F3D	Enhanced_descriptions_localization.lua:1006	Enhanced_descriptions_localization.lua:1009	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-004	match	none
Enhanced_descriptions_localization.lua	61	root_localization	stamina_colour	40D4174CF8CF3D7E22C035A23E95330F8C39ED913CAA28B38A7E2E548557B62F	BE18DE8A4BEED3602B703ABCC074964BDD87DA04758245C6C01692ED4AE8408A	Enhanced_descriptions_localization.lua:1020	Enhanced_descriptions_localization.lua:1023	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-005	match	none
Enhanced_descriptions_localization.lua	62	root_localization	toughness_colour	5F1EDA1A868C615D4DAF16FC904FEDFAFC15EC11EF3A1ED8CABB6EAEE88A4A86	F75B69A32C432E4EA25A3A9257503298AC138E304B3D49AFBF76B10C215003C0	Enhanced_descriptions_localization.lua:1034	Enhanced_descriptions_localization.lua:1037	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-005	match	none
Enhanced_descriptions_localization.lua	63	root_localization	weakspot_colour	6F7A51973EF9FED74FA48CE17301371C323A20ED6515695A39D3BAF3972C90CF	8869C060C328ACA064410BC737A6E53902F2F62EBB6869397CF51CBE19610B30	Enhanced_descriptions_localization.lua:1048	Enhanced_descriptions_localization.lua:1051	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-005	match	none
Enhanced_descriptions_localization.lua	64	root_localization	class_psyker_colour	F1CA8C43BC50DEA00F739D9EA473FE80AA208A6B570D5B8B886FF994513CD6A4	854E0D0926EE83DCECF0B1F854D2BC0687F7670A2119E30FFEEF32631C46D006	Enhanced_descriptions_localization.lua:1064	Enhanced_descriptions_localization.lua:1067	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-005	match	none
Enhanced_descriptions_localization.lua	65	root_localization	precision_colour	9A4FE2BB4EAE7CEB52881AFA4674BF614ABECB7672C5F01BBB9FD66E802E13E3	2455F1FAC3E85BA042E13211705552DA54DAA261615A43E13190502D95097263	Enhanced_descriptions_localization.lua:1078	Enhanced_descriptions_localization.lua:1081	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-005	match	none
Enhanced_descriptions_localization.lua	66	root_localization	class_ogryn_colour	37E300FE37B27656CF782848785EBA311705388749521B2528FB0E63068B1F61	2AB8B7DFE52F37D4AA16B901E9EDE7246E15832366A99DFF55D66F5355D2FDE9	Enhanced_descriptions_localization.lua:1094	Enhanced_descriptions_localization.lua:1097	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-005	match	none
Enhanced_descriptions_localization.lua	67	root_localization	fnp_colour	565E2651DAE3A546603ED4D1927325975905311DF8730C83BDD9A38E66F73A37	7C50D1D96EBB8517F6448AB5CFF5F7DF1BC746D7228CF4BE982BB244D1A93781	Enhanced_descriptions_localization.lua:1108	Enhanced_descriptions_localization.lua:1111	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-005	match	none
Enhanced_descriptions_localization.lua	68	root_localization	luckyb_colour	DE8DF44258B6D8F46CE5D290E4E37E72C369D85EFC2033F698501BC270581B9D	7C006362D18B5E2E201C4DE63910C97A4984BC37C8385488EF92A90D79A1ADFB	Enhanced_descriptions_localization.lua:1122	Enhanced_descriptions_localization.lua:1125	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-005	match	none
Enhanced_descriptions_localization.lua	69	root_localization	trample_colour	69661A6DDD2DDCA6448B81E8511B543F905C4560C41E201A5B5E9B91F68A7191	33073AFF904BB6E081F229B22B021F3405E3AF50DDE19ACB66089FFAF4731EB5	Enhanced_descriptions_localization.lua:1136	Enhanced_descriptions_localization.lua:1139	root_localization	no	yes	no	yes	KEEP		ED3-ROOT-RECHECK-005	match	none
